x,y,z
-38.94538322,38.07804232,22.35005346
-25.89167211,41.27651096,38.88174759
-40.11814205,43.57419645,4.050452724
-27.14079401,56.8975259,-2.820914681
-33.01976168,46.89945855,16.02405184
-20.04241364,60.222788,9.152684436
-9.440704268,58.59988832,24.94048779
-7.422239966,42.57499322,49.39029653
3.103106338,51.07695435,41.77503836
13.05985509,41.3760771,50.51021467
-7.495140288,63.64553926,2.023370479
3.10656908,62.02263958,17.81117384
13.01368895,62.30742443,3.230266934
15.44706661,57.04792216,26.35485982
25.35418648,57.332707,11.77395291
37.30020373,42.71344963,20.02254827
30.76039955,37.97125418,42.021625
42.65678792,33.33765891,26.95413714
31.47429975,53.20760567,0.626514998
43.420317,38.5883483,8.875110353
-26.41481484,-56.72221152,60.0140903
-33.8174587,-69.05438091,46.93400224
-38.74098259,-42.05780464,56.03477161
-46.14362645,-54.38997403,42.95468356
-54.404541,-40.30988067,33.61768661
-47.47951421,-66.17615125,29.08152538
-55.74042876,-52.09605789,19.74452844
-53.5071362,-63.24081341,7.65669199
-60.22440172,-38.92236174,7.186421679
-57.99110916,-50.06711725,-4.901414768
23.92177427,-59.56610471,63.00992829
29.83239277,-72.70746285,50.73887609
37.31543668,-46.28878098,60.46035078
43.22605518,-59.43013912,48.18929858
52.26093095,-46.24071225,39.75916689
43.05232693,-71.35554315,34.35789528
52.08720271,-58.16611629,25.92776359
48.31693148,-69.04976314,13.45623202
57.05734016,-45.43994107,13.8501601
53.28706894,-56.32358792,1.378628529
-38.94538322,38.07804232,22.35005346
-25.89167211,41.27651096,38.88174759
-40.11814205,43.57419645,4.050452724
-27.14079401,56.8975259,-2.820914681
-33.01976168,46.89945855,16.02405184
-20.04241364,60.222788,9.152684436
-9.440704268,58.59988832,24.94048779
-7.422239966,42.57499322,49.39029653
3.103106338,51.07695435,41.77503836
13.05985509,41.3760771,50.51021467
-7.495140288,63.64553926,2.023370479
3.10656908,62.02263958,17.81117384
13.01368895,62.30742443,3.230266934
15.44706661,57.04792216,26.35485982
25.35418648,57.332707,11.77395291
37.30020373,42.71344963,20.02254827
30.76039955,37.97125418,42.021625
42.65678792,33.33765891,26.95413714
31.47429975,53.20760567,0.626514998
43.420317,38.5883483,8.875110353
-26.41481484,-56.72221152,60.0140903
-33.8174587,-69.05438091,46.93400224
-38.74098259,-42.05780464,56.03477161
-46.14362645,-54.38997403,42.95468356
-54.404541,-40.30988067,33.61768661
-47.47951421,-66.17615125,29.08152538
-55.74042876,-52.09605789,19.74452844
-53.5071362,-63.24081341,7.65669199
-60.22440172,-38.92236174,7.186421679
-57.99110916,-50.06711725,-4.901414768
23.92177427,-59.56610471,63.00992829
29.83239277,-72.70746285,50.73887609
37.31543668,-46.28878098,60.46035078
43.22605518,-59.43013912,48.18929858
52.26093095,-46.24071225,39.75916689
43.05232693,-71.35554315,34.35789528
52.08720271,-58.16611629,25.92776359
48.31693148,-69.04976314,13.45623202
57.05734016,-45.43994107,13.8501601
53.28706894,-56.32358792,1.378628529
